Chromosome	Position(bp)	Rate(cM/Mb)
chr21	10326675	0.179683
chr21	10328257	1.819887
chr21	10328473	1.930423
chr21	10328626	2.056303
chr21	10329435	2.535682
chr21	10331439	2.594521
chr21	10331648	2.604827
chr21	10332210	2.590379
chr21	10345208	2.60237
chr21	10364041	2.607115
chr21	10366269	2.614146
chr21	10370459	2.672971
chr21	10398106	2.677657
chr21	10399020	1.911707
chr21	10399556	1.04587
chr21	10417927	1.153241
chr21	10418234	1.142315
chr21	10418636	1.194993
chr21	10419094	1.2499
chr21	10419097	1.257882
chr21	10421213	1.276325
chr21	10421857	2.105938
chr21	10428609	2.162078
chr21	10434194	2.166753
chr21	10434600	2.185237
chr21	10446151	2.182091
chr21	10447334	1.990067
chr21	10448347	1.844752
chr21	10449556	1.8401179999999997
chr21	10450421	1.8356069999999998
chr21	10455806	1.800109
chr21	10457531	1.15056
chr21	10460274	1.143642
chr21	10462296	1.134201
chr21	10463437	1.139959
chr21	10469943	3.6935990000000003
chr21	10471422	3.694217
chr21	10475318	5.036618
chr21	10476689	5.234125
chr21	10482030	5.114138
chr21	10485152	5.117892
chr21	10511352	0.518411
chr21	10514915	0.231324
chr21	10515527	0.227377
chr21	10517969	0.222827
chr21	10520224	0.22286499999999998
chr21	10522541	0.222647
chr21	10533358	0.222888
chr21	10539127	0.22287
chr21	10540211	0.22276300000000002
chr21	10540505	0.224026
chr21	10540890	0.22412200000000002
chr21	10544689	0.230718
chr21	10545631	0.239811
chr21	10548317	0.250012
chr21	10550045	0.258854
chr21	10552650	0.27295
chr21	10555733	0.299695
chr21	10558997	0.300418
chr21	10561825	0.301857
chr21	10568370	0.304141
chr21	10572832	0.31131
chr21	10576226	0.328289
chr21	10578183	0.328305
chr21	10579688	0.336173
chr21	10581502	0.336438
chr21	10587167	0.338967
chr21	10592415	0.338921
chr21	10592438	0.34044699999999994
chr21	10595540	0.356432
chr21	10598483	0.408605
chr21	10599015	0.409579
chr21	10602109	0.4169089999999999
chr21	10605248	0.419481
chr21	10605467	0.424224
chr21	10605541	0.496586
chr21	10605733	1.29162
chr21	10646523	0.0
chr21	12968320	0.628903
chr21	12970435	0.6112989999999999
chr21	12977762	0.614394
chr21	12983047	0.617265
chr21	12985513	0.671119
chr21	12987409	0.715519
chr21	12988569	0.717077
chr21	12988657	0.718475
chr21	12990722	0.720221
chr21	12996886	0.725157
chr21	13005105	0.726957
chr21	13008053	0.727543
chr21	13008350	0.726781
chr21	13010184	0.727148
chr21	13036261	0.729595
chr21	13042551	0.732948
chr21	13053221	0.813976
chr21	13054700	0.8942619999999999
chr21	13073695	0.941182
chr21	13099938	2.408849
chr21	13110005	2.429706
chr21	13139827	0.821433
chr21	13213132	0.831652
chr21	13222943	1.4771280000000002
chr21	13224688	1.488532
chr21	13227809	1.519372
chr21	13229094	1.517507
chr21	13231256	0.7535630000000001
chr21	13232040	0.070721
chr21	13234719	0.070661
chr21	13240712	0.086145
chr21	13240882	0.086475
chr21	13241380	0.108638
chr21	13241672	0.109062
chr21	13255384	0.033857
chr21	13258267	0.019838
chr21	13258634	0.009648
chr21	13259274	0.003135
chr21	13261103	0.00285
chr21	13264585	0.002841
chr21	13268079	0.002841
chr21	13270143	0.002841
chr21	13274232	0.002852
chr21	13275529	0.003122
chr21	13275836	0.003407
chr21	13277477	0.004203
chr21	13280587	0.008164
chr21	13283230	0.21711999999999998
chr21	13284448	0.026703
chr21	13286509	0.026751
chr21	13289671	0.20567000000000002
chr21	13292630	0.199672
chr21	13293652	0.557361
chr21	13293843	0.51848
chr21	13294763	0.092044
chr21	13297610	0.092087
chr21	13297803	0.092144
chr21	13297868	0.092135
chr21	13298852	0.092214
chr21	13301529	0.092057
chr21	13304980	0.090883
chr21	13305033	0.089558
chr21	13308956	0.088355
chr21	13313275	0.096236
chr21	13313842	0.095983
chr21	13314336	0.095756
chr21	13315250	0.135658
chr21	13316504	0.21753799999999998
chr21	13319046	0.163476
chr21	13319991	0.155122
chr21	13320912	0.173735
chr21	13321060	0.190951
chr21	13327484	0.591315
chr21	13327565	0.669453
chr21	13339843	0.671923
chr21	13342566	0.498867
chr21	13342905	0.4565600000000001
chr21	13345210	0.356163
chr21	13353062	0.087084
chr21	13362765	0.077572
chr21	13363169	0.069302
chr21	13364137	0.067803
chr21	13367143	0.067793
chr21	13370521	0.067769
chr21	13370996	0.06774
chr21	13371725	0.067734
chr21	13372587	0.067739
chr21	13377078	0.067739
chr21	13377546	0.067732
chr21	13382924	0.067728
chr21	13384040	0.067728
chr21	13384355	0.067728
chr21	13384652	0.067731
chr21	13384722	0.067737
chr21	13386583	0.067737
chr21	13389646	0.067751
chr21	13390602	0.067802
chr21	13394104	0.079766
chr21	13394880	0.46906099999999995
chr21	13396022	0.209361
chr21	13396725	0.12185
chr21	13397141	0.118511
chr21	13398856	0.118538
chr21	13399490	0.118839
chr21	13400911	0.119405
chr21	13401195	0.119724
chr21	13403408	0.119837
chr21	13407058	0.127731
chr21	13408015	0.160126
chr21	13409611	0.160126
chr21	13409638	0.16455899999999998
chr21	13411277	0.173029
chr21	13411964	0.166961
chr21	13413297	0.144739
chr21	13413478	0.12129600000000001
chr21	13414091	0.113341
chr21	13418100	0.11305
chr21	13418412	0.112765
chr21	13421184	0.112575
chr21	13423154	0.11267999999999999
chr21	13423802	0.114728
chr21	13424314	0.11903700000000002
chr21	13425696	0.134592
chr21	13425916	0.135428
chr21	13428532	0.17503
chr21	13428821	0.178081
chr21	13430429	0.187278
chr21	13430807	0.187338
chr21	13434815	0.189179
chr21	13436572	0.189186
chr21	13437721	0.189194
chr21	13440234	0.405351
chr21	13440669	0.433461
chr21	13441052	0.315891
chr21	13441328	0.179139
chr21	13443583	0.175025
chr21	13445465	0.166946
chr21	13447387	0.16587
chr21	13448087	0.161335
chr21	13448681	0.162127
chr21	13450021	0.160059
chr21	13452182	0.15889399999999998
chr21	13452291	0.15768
chr21	13453268	0.157609
chr21	13455377	0.157772
chr21	13457716	1.061002
chr21	13459039	2.778301
chr21	13459286	4.848977
chr21	13462951	5.043314
chr21	13464068	4.9398040000000005
chr21	13464977	1.042332
chr21	13472403	0.8349049999999999
chr21	13474973	0.82624
chr21	13475280	0.648021
chr21	13477189	0.64698
chr21	13477307	0.228981
chr21	13482698	0.228817
chr21	13488851	0.226894
chr21	13497301	0.227308
chr21	13498350	0.22905
chr21	13503956	0.252153
chr21	13507682	0.371244
chr21	13512011	0.46916599999999997
chr21	13514351	5.634306
chr21	13514493	5.818976
chr21	13519578	0.419387
chr21	13527249	0.419368
chr21	13527267	0.419619
chr21	13529599	0.427823
chr21	13529780	0.424913
chr21	13530378	0.420338
chr21	13535268	0.424433
chr21	13539380	0.48493600000000003
chr21	13542314	1.111845
chr21	13542485	1.8370139999999997
chr21	13543734	0.6526
chr21	13547816	0.463031
chr21	13552614	0.188768
chr21	13556034	0.186138
chr21	13558377	0.184298
chr21	13559721	0.18384800000000004
chr21	13562613	0.18390999999999996
chr21	13568685	0.184349
chr21	13568824	0.184711
chr21	13570038	0.185135
chr21	13571018	0.185778
chr21	13572794	0.187622
chr21	13574849	0.190663
chr21	13580005	0.19176300000000002
chr21	13585652	0.428568
chr21	13585778	0.529832
chr21	13588275	0.368649
chr21	13589600	0.212786
chr21	13597606	1.437302
chr21	13600688	0.132422
chr21	13601544	0.133574
chr21	13601581	0.133133
chr21	13604165	0.130997
chr21	13604687	0.128336
chr21	13605124	0.098057
chr21	13613111	0.082409
