Chromosome	Position(bp)	Rate(cM/Mb)
chr14	19198131	2.767203
chr14	19198559	2.2092484167062354
chr14	19383390	1.6512938334124714
chr14	19680339	2.762211
chr14	19726717	1.059809
chr14	19728922	0.796935
chr14	19730012	0.798635
chr14	19731284	0.800965
chr14	19734966	0.783735
chr14	19741451	0.644428
chr14	19744476	1.798225
chr14	19744483	2.958451
chr14	19744550	4.720162
chr14	19744847	4.721867
chr14	19744878	4.670679
chr14	19744896	4.597272
chr14	19745022	1.9941389999999999
chr14	19745778	0.592999
chr14	19746748	0.599384
chr14	19747219	0.639425
chr14	19747289	0.707874
chr14	19747830	3.673081
chr14	19748139	3.719935
chr14	19750966	5.638853
chr14	19751259	5.646802
chr14	19752802	5.645109
chr14	19753340	5.64543
chr14	19753341	1.410742
chr14	19754695	1.412178
chr14	19755304	1.413476
chr14	19755844	1.427828
chr14	19756808	1.788104
chr14	19757173	1.8931570000000002
chr14	19757733	1.967346
chr14	19758289	1.967079
chr14	19758336	1.959432
chr14	19758503	1.9493
chr14	19758533	1.938263
chr14	19758732	1.938158
chr14	19759145	1.93709
chr14	19759661	1.93532
chr14	19759765	1.933754
chr14	19760143	1.935404
chr14	19760705	1.957097
chr14	19761047	2.391149
chr14	19761770	2.455671
chr14	19761801	2.513843
chr14	19762607	2.930653
chr14	19762662	3.172506
chr14	19763052	3.325224
chr14	19763455	3.327322
chr14	19763755	3.447006
chr14	19763879	3.551766
chr14	19763987	3.551797
chr14	19764822	3.554643
chr14	19765368	3.613205
chr14	19765681	3.778764
chr14	19771087	3.291448
chr14	19771320	2.672334
chr14	19777970	2.672114
chr14	19780669	2.670263
chr14	19781720	2.671053
chr14	19781809	2.672266
chr14	19786411	3.5631919999999995
chr14	19787631	3.561501
chr14	19788455	3.687872
chr14	19790732	3.7092300000000002
chr14	19790844	3.709113
chr14	19791064	3.715929
chr14	19791777	3.668797
chr14	19792082	3.668286
chr14	19792284	3.6680040000000003
chr14	19792946	3.667737
chr14	19793202	3.669054
chr14	19793860	3.671234
chr14	19795226	3.6960120000000005
chr14	19795266	3.715942
chr14	19795666	3.722287
chr14	19795860	3.730608
chr14	19796753	3.7281429999999998
chr14	19797042	3.8187729999999998
chr14	19797210	3.8511499999999996
chr14	19797477	3.859483
chr14	19797696	3.857049
chr14	19798227	3.860725
chr14	19798255	3.871056
chr14	19798328	3.870309
chr14	19798855	6.393125
chr14	19799786	6.420802
chr14	19802505	5.898885
chr14	19804320	2.053064
chr14	19814493	0.701141
chr14	19821124	0.822497
chr14	19821644	1.723251
chr14	19822218	1.7232549999999998
chr14	19822524	1.71906
chr14	19823058	1.397291
chr14	19823127	1.155451
chr14	19823380	0.994965
chr14	19824172	1.443576
chr14	19824185	1.8647580000000001
chr14	19824326	1.830041
chr14	19824521	1.792925
chr14	19824637	1.45604
chr14	19824694	0.729249
chr14	19825972	0.71364
chr14	19827190	0.703374
chr14	19827351	0.692178
chr14	19827851	0.68739
chr14	19828351	0.606393
chr14	19828499	0.43355099999999996
chr14	19831132	0.423217
chr14	19836888	4.764575
chr14	19837272	2.69079
chr14	19839530	1.262995
chr14	19841526	1.261911
chr14	19842693	1.581529
chr14	19842764	1.582375
chr14	19843929	1.627333
chr14	19845212	1.631317
chr14	19846402	1.629219
chr14	19846799	1.611446
chr14	19847879	1.614018
chr14	19847933	1.61346
chr14	19847969	1.6134240000000002
chr14	19848362	1.6133420000000003
chr14	19848680	1.615154
chr14	19849489	1.6065069999999997
chr14	19849588	1.596117
chr14	19850382	1.595351
chr14	19853191	1.595313
chr14	19853445	1.596104
chr14	19854006	1.59607
chr14	19854878	1.596045
chr14	19856351	1.596994
chr14	19858750	1.597183
chr14	19862958	1.5986410000000002
chr14	19864696	1.602591
chr14	19868968	1.652457
chr14	19871243	1.910711
chr14	19872152	1.994935
chr14	19873105	2.003209
chr14	19873338	3.3444650000000005
chr14	19873418	4.090464
chr14	19873461	6.533358
chr14	19873486	8.796131
chr14	19874707	8.801987
chr14	19875290	8.823689
chr14	19875398	8.849306
chr14	19878162	8.93433
chr14	19878187	8.942351
chr14	19878413	8.733759
chr14	19878790	8.737285
chr14	19878892	8.764059
chr14	19879043	8.76204
chr14	19879052	8.762101
chr14	19879145	8.75913
chr14	19879405	25.63628
chr14	19879622	25.63628
chr14	19880313	25.634386
chr14	19880874	25.634386
chr14	19881009	25.634386
chr14	19881950	25.233574
chr14	19882413	7.708262
chr14	19882551	1.240714
chr14	19883831	1.084952
chr14	19886017	1.055733
chr14	19886548	1.054438
chr14	19888911	0.851285
chr14	19893786	1.004989
chr14	19893932	1.030569
chr14	19894661	1.100837
chr14	19895011	1.189636
chr14	19895530	1.3149549999999999
chr14	19896389	1.682674
chr14	19897241	1.8902689999999998
chr14	19897694	1.9452940000000003
chr14	19898156	1.893787
chr14	19899033	1.8910009999999997
chr14	19899208	1.822521
chr14	19899339	1.761251
chr14	19899361	1.7549399999999997
chr14	19899452	1.736634
chr14	19900219	1.691322
chr14	19902007	2.551043
chr14	19902585	2.425321
chr14	19903889	2.550611
chr14	19904556	2.713013
chr14	19904860	2.73194
chr14	19904875	2.6538189999999995
chr14	19904927	2.45498
chr14	19905274	2.413012
chr14	19906486	2.131445
chr14	19909567	2.149297
chr14	19909790	2.167336
chr14	19911361	2.199963
chr14	19915080	12.623022
chr14	19915250	12.656574999999998
chr14	19915423	15.559391
chr14	19918238	13.723826
chr14	19918334	11.658945
chr14	19918379	1.53531
chr14	19919923	1.536622
chr14	19920245	1.524311
chr14	19921562	1.616278
chr14	19921715	1.745371
chr14	19922266	1.7389929999999998
chr14	19922352	1.7319459999999998
chr14	19922749	2.242077
chr14	19923423	2.239965
chr14	19924031	2.570836
chr14	19924227	2.610139
chr14	19925415	2.891837
chr14	19925760	3.124922
chr14	19925829	3.3824820000000004
chr14	19926185	3.3353179999999996
chr14	19926531	2.95053
chr14	19926609	2.5152049999999995
chr14	19926721	2.393239
chr14	19927217	1.748441
chr14	19927538	2.867023
chr14	19928506	3.055352
chr14	19928525	3.2202900000000003
chr14	19929208	3.297088
chr14	19929450	3.221936
chr14	19929810	3.193945
chr14	19929929	3.227709
chr14	19930167	2.087315
chr14	19930210	0.8439959999999999
chr14	19930820	0.781587
chr14	19931310	0.782731
chr14	19931681	0.788775
chr14	19932211	0.83823
chr14	19932421	0.867479
chr14	19932784	1.257412
chr14	19932841	1.9480630000000003
chr14	19933497	2.290557
chr14	19933933	2.844302
chr14	19933937	2.844232
chr14	19934033	2.921569
chr14	19934134	2.913233
chr14	19934639	0.9011449999999999
chr14	19935932	0.85177
chr14	19936079	0.851309
chr14	19936577	0.458319
chr14	19940475	1.127044
chr14	19940549	1.287212
chr14	19940752	2.030374
chr14	19941099	2.049748
chr14	19941340	1.9880519999999997
chr14	19941620	1.560149
chr14	19941685	1.01326
chr14	19942691	1.003765
chr14	19943530	1.001711
chr14	19943558	1.00093
chr14	19944300	1.040741
chr14	19944880	1.051164
chr14	19945161	1.055814
chr14	19945642	1.058256
chr14	19945961	1.05995
chr14	19945979	1.060676
chr14	19946725	1.064154
chr14	19946887	1.082691
chr14	19947479	1.997539
chr14	19947600	2.113858
chr14	19947621	2.189072
chr14	19947762	2.191119
chr14	19947967	2.188727
chr14	19947991	2.185348
chr14	19948340	2.249416
chr14	19948416	2.33327
chr14	19948431	2.481222
chr14	19948481	2.48046
chr14	19948664	6.958742
