Chromosome	Position(bp)	Rate(cM/Mb)
chr15	19809728	0.079889
chr15	19844578	0.09387199999999998
chr15	19850381	0.093912
chr15	19866420	0.09394900000000002
chr15	19866512	0.09401299999999999
chr15	19872912	0.09404799999999999
chr15	19879854	0.093975
chr15	19880385	0.093883
chr15	19885603	0.093883
chr15	19893724	0.09380399999999998
chr15	19895189	0.09367599999999998
chr15	19895212	0.09361300000000002
chr15	19896055	0.093613
chr15	19906196	0.093526
chr15	19914453	0.09353599999999998
chr15	19938398	0.094164
chr15	19939549	0.099354
chr15	19956119	0.34851
chr15	19956288	0.492773
chr15	19956611	0.679092
chr15	19956943	0.684899
chr15	19958145	0.703087
chr15	19959357	0.574246
chr15	19959635	0.346768
chr15	19961836	0.171176
chr15	19962368	0.159529
chr15	19967342	0.159727
chr15	19967455	0.159977
chr15	19968443	0.159945
chr15	19971047	0.204462
chr15	19971583	0.234221
chr15	19971839	0.262399
chr15	19973035	0.256776
chr15	19975692	0.253476
chr15	19981155	0.25445
chr15	19982805	0.257769
chr15	19986488	2.667111
chr15	19986758	3.09799
chr15	19986833	3.4517539999999998
chr15	19987698	3.809383
chr15	19988669	3.024755
chr15	19989705	2.338769
chr15	20007545	2.9401040000000003
chr15	20210624	3.0843610000000004
chr15	20217334	3.312747
chr15	20218490	3.351928
chr15	20221954	3.4006459999999996
chr15	20222718	3.4030099999999996
chr15	20228480	3.465542
chr15	20235225	7.965522000000001
chr15	20240759	8.020616
chr15	20246097	8.050997
chr15	20252975	7.756384
chr15	20255796	7.775827
chr15	20257350	7.778644000000001
chr15	20258581	7.783382
chr15	20280036	7.792594
chr15	20280526	7.794653
chr15	20280626	7.797385
chr15	20283488	7.793017
chr15	20283617	7.7902
chr15	20288172	7.743879
chr15	20289036	7.723554
chr15	20293033	7.717586
chr15	20306974	7.719299000000001
chr15	20317387	7.717860000000001
chr15	20317687	7.720435999999999
chr15	20322579	7.72154
chr15	20338735	8.218832
chr15	20338985	8.87676
chr15	20339627	10.080936
chr15	20344377	10.159854
chr15	20344556	10.241767
chr15	20345803	10.365339
chr15	20346938	10.329062
chr15	20350467	8.822355
chr15	20358643	8.331649
chr15	20359322	5.957666
chr15	20360393	5.96089
chr15	20360608	5.181551
chr15	20364475	5.138539
chr15	20365369	5.150347
chr15	20365960	5.167639
chr15	20367689	4.942895
chr15	20367791	3.581473
chr15	20369730	3.516927
chr15	20369739	3.425576
chr15	20372241	3.425823
chr15	20373179	3.440683
chr15	20375391	3.45593
chr15	20376987	3.4899120000000003
chr15	20377603	3.6301240000000004
chr15	20377647	3.7591269999999994
chr15	20378782	3.838281
chr15	20379245	3.963608
chr15	20379902	4.11767
chr15	20379951	4.337606
chr15	20380145	4.450464
chr15	20380209	4.477666
chr15	20380902	4.494529
chr15	20381038	4.495823
chr15	20381612	4.494869
chr15	20381674	4.49704
chr15	20381994	4.49002
chr15	20382061	4.489795
chr15	20382346	4.473331
chr15	20382975	4.459472
chr15	20382977	4.457832
chr15	20383452	4.430962
chr15	20384883	4.388568
chr15	20385246	4.360974
chr15	20386417	4.178986
chr15	20386500	3.7702959999999996
chr15	20386514	3.676421
chr15	20386608	3.128982
chr15	20386626	1.162325
chr15	20390317	1.16333
chr15	20390986	1.163331
chr15	20392843	1.16435
chr15	20394206	1.166662
chr15	20395003	1.167019
chr15	20396496	1.220686
chr15	20396754	1.248423
chr15	20396773	1.276121
chr15	20396941	1.251023
chr15	20397521	1.222709
chr15	20398293	0.767797
chr15	20398304	0.738888
chr15	20401716	0.7385129999999999
chr15	20401728	0.737916
chr15	20407661	1.068184
chr15	20407799	1.391328
chr15	20408806	1.40142
chr15	20409030	1.404178
chr15	20409262	1.401504
chr15	20410567	1.43795
chr15	20410685	1.437648
chr15	20411418	1.582519
chr15	20417778	2.427696
chr15	20418203	2.607711
chr15	20418387	2.825198
chr15	20420026	8.599336
chr15	20420048	9.716748
chr15	20420899	9.716838
chr15	20421383	9.684735
chr15	20421580	9.25021
chr15	20424722	8.889918644865212
chr15	20642842	8.570987
chr15	20642863	8.211164
chr15	20643930	8.209137
chr15	20644036	8.225247746236558
chr15	20644501	8.21197337311828
chr15	20644520	8.198699
chr15	20644698	8.196913
chr15	20645098	8.19591
chr15	20645466	8.215356730434781
chr15	20645926	8.207770865217391
chr15	20645927	8.200185
chr15	20646848	13.968780560975608
chr15	20647586	13.874778
chr15	20648238	13.874794
chr15	20648368	14.043612935617247
chr15	20650061	13.800292037671232
chr15	20650645	11.078400000000002
chr15	20650696	8.790102
chr15	20650815	8.790102
chr15	20652999	8.790102
chr15	20653229	8.798006767985612
chr15	20654341	8.580879
chr15	20654955	8.580879
chr15	20654975	8.492363
chr15	20655006	8.433048213611524
chr15	20661045	8.428861
chr15	20662464	8.428942
chr15	20663708	8.429015
chr15	20664295	8.42914
chr15	20666507	8.429511
chr15	20667975	8.429737
chr15	20670463	8.430876
chr15	20674309	8.433964
chr15	20680673	8.433966
chr15	20681489	8.43798
chr15	20683862	8.442389
chr15	20688474	8.82001
chr15	20688511	13.593936499999998
chr15	20729759	18.367862999999996
chr15	20730230	18.367863
chr15	20730409	18.355374
chr15	20736292	18.280809
chr15	20736723	18.366034
chr15	20737112	18.762781
chr15	20738362	18.367031
chr15	20738753	18.367031
chr15	20738791	18.355366
chr15	20740225	18.163281
chr15	20741749	18.368175
chr15	20741872	18.396767
chr15	20743066	18.58275
chr15	20743076	18.617368
chr15	20744110	18.57335
chr15	20744160	18.48749
chr15	20751903	18.475559
chr15	20751918	18.475559
chr15	20752679	18.937222
chr15	20763431	21.234263
chr15	20778925	21.727515
chr15	20789236	21.704958
