Chromosome	Position(bp)	Rate(cM/Mb)
chr16	34045	0.385028
chr16	34170	0.496493
chr16	35057	0.49679
chr16	35065	0.490654
chr16	35561	0.488585
chr16	35658	0.488783
chr16	38165	0.49223200000000006
chr16	39475	0.542866
chr16	41010	0.706548
chr16	44808	0.627162
chr16	45254	0.577207
chr16	45481	0.530653
chr16	47354	0.58068
chr16	51263	0.862995
chr16	53517	0.862358
chr16	57275	0.8725071887966805
chr16	60167	0.885571
chr16	62777	0.885007
chr16	63972	1.493257
chr16	65074	1.6565190000000003
chr16	65187	1.813886
chr16	65659	1.8019640000000001
chr16	67196	1.01317
chr16	69021	0.920865
chr16	69731	0.8657
chr16	70336	0.858915
chr16	71847	0.858147
chr16	74163	0.8598724017111853
chr16	78955	1.382686
chr16	79278	2.40479
chr16	80407	2.557003
chr16	80854	2.586942
chr16	83094	2.351927
chr16	83879	1.761736
chr16	83947	0.8835879999999999
chr16	85653	0.876288
chr16	86889	0.8678920901089691
chr16	91661	0.852459
chr16	92827	0.848778
chr16	93505	0.819136
chr16	95034	0.82038
chr16	95284	0.496608
chr16	95886	0.355464
chr16	97707	0.356461
chr16	97816	0.35728
chr16	98011	0.357924
chr16	102474	0.358292
chr16	104846	0.358245
chr16	105322	0.35863
chr16	105360	0.358637
chr16	105968	0.359261
chr16	107143	0.35993903419516265
chr16	111939	0.361533
chr16	113352	0.364357
chr16	113419	0.365861
chr16	113599	0.369916
chr16	113627	0.370075
chr16	114936	0.377744
chr16	117409	0.376867
chr16	118535	0.366006
chr16	118692	0.4360379999999999
chr16	120329	0.339427
chr16	125187	0.341879
chr16	126744	0.339022
chr16	130720	0.34043700000000005
chr16	132468	0.342408
chr16	134243	0.463058
chr16	134391	0.658745
chr16	135103	0.700184
chr16	135124	1.062099
chr16	137430	3.720726
chr16	140006	3.721641
chr16	142315	3.744287
chr16	145177	3.643106
chr16	148836	3.5728989999999996
chr16	150074	3.5724440000000004
chr16	151390	3.581654
chr16	155036	0.483181
chr16	161244	0.482846
chr16	162650	0.468966
chr16	171058	0.365371
chr16	175654	0.26967
chr16	178307	0.262077
chr16	184365	0.260711
chr16	184429	0.25982
chr16	185491	0.258343
chr16	190281	0.22685599999999997
chr16	190896	0.22685600000000003
chr16	191211	0.189383
chr16	197889	0.18782
chr16	202480	0.18674
chr16	206279	0.18660500000000002
chr16	209733	0.186125
chr16	212300	0.185671
chr16	214643	0.185574
chr16	215160	0.185455
chr16	219034	0.18534500000000004
chr16	226162	0.185381
chr16	226550	0.190166
