Chromosome	Position(bp)	Rate(cM/Mb)
chr9	40910	5.326823
chr9	46431	3.618885
chr9	46587	3.649626
chr9	47123	3.653733
chr9	48515	1.849597
chr9	50568	1.535179
chr9	57327	1.537623
chr9	58265	1.521706
chr9	78775	1.521659
chr9	120676	0.177985
chr9	150524	0.178107
chr9	158310	0.178329
chr9	158474	0.178339
chr9	172401	0.180053
chr9	186603	0.19081
chr9	190965	0.191608
chr9	192129	0.20674
chr9	193813	0.206703
chr9	200971	0.40838
chr9	201388	0.609984
chr9	203310	0.731314
chr9	203481	0.778015
chr9	203623	0.791721
chr9	204201	0.802768
chr9	204485	1.169441
chr9	204738	1.176656
chr9	204850	1.195804
chr9	205764	1.08925
chr9	205829	1.021428
chr9	205886	0.917576
chr9	205964	0.833242
chr9	206025	0.79724
chr9	206132	0.785295
chr9	206255	0.786559
chr9	206512	0.819506
chr9	206519	0.856562
chr9	206838	0.788374
chr9	207454	0.772136
chr9	207958	0.761354
chr9	208181	0.75388
chr9	208549	1.102844
chr9	208665	1.557579
chr9	209325	1.279353
chr9	209359	1.072466
chr9	209403	0.810857
chr9	212421	1.608875
chr9	212557	1.608539
chr9	212761	1.427343
chr9	212908	1.461962
chr9	213149	1.50032
chr9	213291	1.54261
chr9	214864	1.5424459999999998
chr9	215269	1.542396
chr9	215917	1.4722849999999998
chr9	216124	1.363115
chr9	217597	1.294717
chr9	217826	1.172568
chr9	218183	1.045571
chr9	219528	0.434234
chr9	221874	0.433558
chr9	223332	0.451331
chr9	223613	0.526121
chr9	223843	0.6564
chr9	223979	1.167954
chr9	224227	1.36338
chr9	224338	1.472452
chr9	224367	1.565764
chr9	224462	1.624472
chr9	224693	1.801647
chr9	224742	2.150938
chr9	224781	2.151061
chr9	224976	1.720775
chr9	225268	1.69162
chr9	225834	1.475362
chr9	225898	1.399685
chr9	226199	1.043755
chr9	227198	1.041092
chr9	227554	0.95998
chr9	227572	0.894216
chr9	227621	0.8498099999999998
chr9	227980	0.8201750000000001
chr9	228301	0.797005
chr9	228789	0.74912
chr9	228848	0.687539
chr9	229283	0.674417
chr9	229470	0.61137
chr9	229625	0.521533
chr9	229734	0.422246
chr9	229826	0.319966
chr9	236828	0.325829
chr9	237001	0.423185
chr9	237988	0.798224
chr9	238370	0.85735
chr9	238389	0.940164
chr9	239313	0.493397
chr9	239667	0.491266
chr9	239865	1.3018390000000002
chr9	240321	0.85911
chr9	240365	0.870955
