Chromosome	Position(bp)	Rate(cM/Mb)
chr18	11523	4.913878
chr18	11543	6.288042
chr18	11816	6.356876
chr18	12092	6.598017
chr18	12183	7.287963
chr18	12716	8.141013
chr18	12842	8.154481
chr18	13034	3.211846
chr18	51984	3.207321
chr18	57731	2.002105
chr18	59318	0.289213
chr18	61355	0.285842
chr18	69805	0.285276
chr18	69836	0.285074
chr18	73090	3.43485
chr18	78172	7.214210999999999
chr18	85149	0.233123
chr18	87505	0.23317199999999996
chr18	87588	0.233172
chr18	87933	0.233117
chr18	91723	0.232957
chr18	93276	0.232964
chr18	99186	0.23297300000000004
chr18	99779	0.233085
chr18	100779	0.232828
chr18	100825	0.23247200000000004
chr18	100949	0.23248700000000003
chr18	100977	0.232345
chr18	112535	0.23572499999999996
chr18	115574	0.444953
chr18	122474	0.692879
chr18	127159	0.727098
chr18	127170	0.756869
chr18	132301	0.7560290000000001
chr18	132649	0.736223
chr18	132671	0.71694
chr18	135649	0.702652
chr18	136305	0.681372
chr18	136630	0.667223
chr18	139767	0.667177
chr18	143973	0.6715599999999999
chr18	150399	1.06221
chr18	154192	0.862875
chr18	154457	0.756476
chr18	159382	0.180272
chr18	159885	0.050864
chr18	160887	0.04603999999999999
chr18	161240	0.043718
chr18	161922	0.043069
chr18	162039	0.042234
chr18	164285	0.042879
chr18	165098	0.044501
chr18	165453	0.04678
chr18	165503	0.049115
chr18	166277	0.04913900000000001
chr18	177063	0.049313
chr18	177503	0.049455
chr18	178007	0.049799
chr18	179403	0.051862
chr18	180486	0.108161
chr18	182139	0.108161
chr18	182253	0.114169
chr18	182766	0.087912
chr18	183621	0.050387
chr18	184476	0.059288
chr18	184704	0.285013
chr18	185110	0.304968
chr18	186998	0.066704
chr18	188570	0.039808
chr18	191751	0.039813
chr18	193108	0.039358
chr18	193162	0.029893
chr18	194055	0.029495
chr18	195405	0.029624
chr18	195644	0.030341999999999997
chr18	196829	0.02983
chr18	199462	0.031554
chr18	204232	0.031554
chr18	207370	0.123655
chr18	208998	0.129122
chr18	209430	0.12360700000000001
chr18	209527	0.115978
chr18	210306	0.115978
chr18	210453	0.099217
chr18	212756	0.098341
chr18	213151	0.098341
chr18	213592	0.098151
chr18	213606	0.097853
chr18	213827	0.097705
chr18	214951	0.097768
chr18	214959	0.097436
chr18	214991	0.09702
chr18	215299	0.095871
chr18	215345	0.09587100000000001
chr18	216958	0.077775
chr18	217379	0.067384
chr18	217485	0.058091
chr18	217866	0.05293099999999999
chr18	218242	0.05897499999999999
chr18	218285	0.069881
chr18	218366	0.10008799999999998
chr18	218695	0.267723
chr18	218753	0.369166
chr18	220071	0.189755
chr18	220341	0.089765
chr18	220658	0.033329
chr18	221102	0.033102
chr18	221131	0.02963
chr18	222167	0.029124
chr18	223185	0.028263
chr18	223189	0.027296
chr18	224184	0.027308
chr18	225051	0.027395
chr18	225608	0.027222
chr18	225964	0.044255
chr18	225985	0.044187
chr18	226485	0.211686
chr18	229710	0.211675
chr18	229853	0.125143
chr18	229887	0.066766
chr18	229888	0.066766
chr18	230739	0.065595
chr18	232337	0.048129
chr18	234473	0.048068
chr18	235928	0.048062
chr18	237663	0.048058
chr18	237838	0.048058
chr18	239289	0.048066
chr18	241347	0.048046
